name,company,year,Price,kms_driven,fuel_type
i20,Hyundai,2014,449999,23000,Petrol
Eon,Hyundai,2014,174999,14000,Petrol
i10,Hyundai,2012,244999,38000,Petrol
i20 Active,Hyundai,2015,574999,35000,Diesel
Redi GO,Datsun,2017,244999,22000,Petrol
Etios Liva,Toyota,2011,239999,41000,Petrol
Accent,Hyundai,2010,99999,45000,Petrol
Verna,Hyundai,2014,489999,44000,Diesel
Swift,Maruti,2013,324999,45000,Diesel
Fortuner,Toyota,2011,1074999,52000,Diesel
i10 Sportz,Hyundai,2012,230000,34000,Petrol
Bolero Power Plus SLE,Mahindra,2018,699000,1800,Diesel
XUV500,Mahindra,2015,1000000,15000,Diesel
City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol
Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol
XUV500,Mahindra,2016,1130000,72000,Diesel
Indigo eCS VX CR4 BS IV,Tata,2014,250000,40000,Diesel
Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,48000,Diesel
Vista Quadrajet VX,Tata,2011,120000,90000,Diesel
Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
Zen LXi BS III,Maruti,2003,85000,69900,Petrol
i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
City ZX EXi,Honda,2008,149000,42000,Petrol
Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel
Beat Diesel,Chevrolet,2017,150000,62000,Diesel
City 1.5 S MT,Honda,2010,225000,70000,Petrol
Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Swift,Maruti,2014,335000,55000,Diesel
Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Indigo LX TDI BS III,Tata,2016,130000,104000,Diesel
Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
C Class 200 CDI Classic,Mercedes,2002,399000,41000,Petrol
Ertiga VDi,Maruti,2013,450000,90000,Diesel
City,Honda,2000,65000,80000,Petrol
Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
Alto LXi BS III,Maruti,2011,155000,32000,Petrol
Jazz S MT,Honda,2009,169999,24695,Petrol
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,65000,Diesel
Alto K10 VXi,Maruti,2014,270000,22000,Petrol
Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
XUV500 W8,Mahindra,2012,560000,100000,Diesel
Creta 1.6 SX Plus Petrol,Hyundai,2016,950000,25000,Petrol
i20 Magna O 1.2,Hyundai,2013,310000,35000,Petrol
Duster 85 PS RxL Explore LE,Renault,2015,715000,65000,Diesel
Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,35000,Petrol
Brio V MT,Honda,2012,235000,33000,Petrol
TUV300 T4 Plus,Mahindra,2017,610000,68000,Diesel
Spark LS 1.0,Chevrolet,2010,95000,23000,Petrol
TUV300 T8,Mahindra,2018,1000000,4500,Diesel
Swift Dzire Tour LDi,Maruti,2015,220000,129000,Diesel
X Trail Select Variant,Nissan,2019,1200000,300,Diesel
Alto 800 Vxi,Maruti,2015,230000,5000,Petrol
Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000,65000,Petrol
Fortuner 3.0 4x4 MT,Toyota,2010,940000,131000,Diesel
Manza ELAN Quadrajet,Tata,2010,155555,111111,Petrol
A Class A 180 Sport Petrol,Mercedes,2013,1500000,14000,Petrol
Beat LS Diesel,Chevrolet,2016,210000,22000,Diesel
EcoSport Trend 1.5L TDCi,Ford,2013,495000,38000,Diesel
Indigo LS,Tata,2016,125000,70000,Diesel
i20 Magna 1.2,Hyundai,2010,195000,36000,Petrol
Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000,34000,Diesel
Kwid RXT,Renault,2015,270000,43000,Petrol
EcoSport Titanium 1.5L TDCi,Ford,2014,500000,40000,Diesel
Amaze 1.5 E i DTEC,Honda,2016,240000,160000,Diesel
Verna 1.6 EX VTVT,Hyundai,2017,800000,12000,Petrol
5 Series 520d Sedan,BMW,2011,1299000,49000,Diesel
Superb 1.8 TFSI AT,Skoda,2011,530000,68000,Petrol
Q3 2.0 TDI quattro Premium,Audi,2013,1499000,37000,Diesel
Bolero DI BSII,Mahindra,2012,220000,59466,Diesel
Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000,99000,Diesel
Wagon R VXI BS IV,Maruti,2018,395000,25500,Petrol
Logan Diesel 1.5 DLS,Mahindra,2009,130000,66000,Petrol
Nano GenX XMA,Tata,2010,32000,44005,Petrol
TUV300 T4 Plus,Mahindra,2016,540000,35000,Diesel
Elite i20 Magna 1.2,Hyundai,2015,405000,28000,Petrol
Elite i20 Magna 1.2,Hyundai,2015,400000,30000,Petrol
City SV,Honda,2017,760000,4000,Petrol
Baleno Delta 1.2,Maruti,2016,500000,28000,Petrol
Figo Petrol LXI,Ford,2011,175000,75000,Petrol
City,Honda,2017,750000,3000,Petrol
Elite i20 Magna 1.2,Hyundai,2015,419000,20000,Petrol
Versa DX2 8 SEATER BSIII,Maruti,2004,90000,50000,Petrol
Eon Era Plus,Hyundai,2018,140000,2110,Petrol
Pajero Sport Limited Edition,Mitsubishi,2015,1540000,43222,Petrol
i10 Magna 1.2 Kappa2,Hyundai,2008,275000,100200,Petrol
Corolla H2,Toyota,2003,150000,100000,Petrol
Swift Dzire Tour VXi,Maruti,2011,230000,65,Petrol
Indigo CS eLS BS IV,Tata,2015,123000,100000,Diesel
Xcent Base 1.1 CRDi,Hyundai,2016,300000,140000,Diesel
Accent Executive Edition,Hyundai,2009,165000,48000,Petrol
Baleno Delta 1.2,Maruti,2016,498000,22000,Petrol
Zest XE 75 PS Diesel,Tata,2018,480000,103553,Diesel
Dzire LDI,Maruti,2017,488000,80000,Diesel
Sumo Gold LX BS IV,Tata,2014,250000,99000,Diesel
Corolla Altis GL Petrol,Toyota,2010,220000,58000,Petrol
Eeco 7 STR,Maruti,2013,290000,70000,LPG
Fortuner 3.0 4x2 MT,Toyota,2015,1525000,120000,Diesel
XUV500 W6,Mahindra,2013,548900,49800,Diesel
Tigor Revotron XZ,Tata,2019,650000,100,Diesel
800,Maruti,2001,55000,81876,Petrol
Ertiga Vxi,Maruti,2015,550000,75000,Petrol
Mobilio S i DTEC,Honda,2014,399000,44000,Diesel
Ertiga,Maruti,2016,730000,55000,Diesel
Vitara Brezza,Maruti,2017,725000,36000,Diesel
Verna 1.6 CRDI E,Hyundai,2016,195000,56000,Diesel
Swift VXI BSIII,Maruti,2007,130000,62000,Petrol
Omni Select Variant,Maruti,2014,190000,6020,Petrol
Amaze,Honda,2013,250000,55700,Diesel
Indica,Tata,2005,80000,42000,Petrol
Santro Xing,Hyundai,2003,120000,50000,Petrol
Zen Estilo,Maruti,2010,149000,35000,Petrol
Wagon R LXI BS IV,Maruti,2014,250000,18500,Petrol
Wagon R,Maruti,2007,120000,7000,Petrol
Brio VX AT,Honda,2017,450000,11000,Petrol
Zen LXi BSII,Maruti,2003,99999,53000,Petrol
Zen Estilo LXI Green CNG,Maruti,2008,135000,23000,Petrol
Wagon R Select Variant,Maruti,2016,225000,35500,Diesel
Alto LXi BS III,Maruti,2010,99000,22134,Petrol
Kwid RXT,Renault,2019,370000,1000,Petrol
Nano Lx BSIV,Tata,2010,52000,9000,Petrol
XE XE Portfolio,Jaguar,2016,2800000,8500,Petrol
Eon Magna Plus,Hyundai,2014,190000,35000,Petrol
City 1.5 S MT,Honda,2014,499000,22000,Petrol
Motors Ambassador,Hindustan,2002,90000,25000,Diesel
Ritz GENUS VXI,Maruti,2010,149000,40000,Petrol
Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,20000,Petrol
Eon D Lite Plus,Hyundai,2016,120000,87000,Petrol
Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,55000,Petrol
Wagon R VXI BS IV,Maruti,2017,375000,23000,Petrol
Amaze 1.2 VX i VTEC,Honda,2014,381000,6000,Petrol
Estilo VXi ABS BS IV,Maruti,2013,180000,65000,Petrol
Vitara Brezza LDi O,Maruti,2016,580000,25000,Diesel
Eeco 5 STR WITH AC HTR,Maruti,2015,278000,39000,Petrol
Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,8000,Petrol
Scorpio Vlx BSIV,Mahindra,2013,690000,75000,Diesel
Ertiga VDi,Maruti,2012,480000,51000,Diesel
Lancer 1.8 LXi,Mitsubishi,2006,85000,50000,Petrol
Maruti 800 AC,Maruti,2001,40000,75000,Petrol
Alto 800 LXI CNG O,Maruti,2015,90000,55800,Petrol
Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,53000,Petrol
Eon D Lite Plus,Hyundai,2018,260000,25000,Petrol
Fiesta SXi 1.6 ABS,Ford,2009,250000,56400,Petrol
Ritz VDi,Maruti,2010,180000,72160,Diesel
Verna Fluidic New,Hyundai,2012,350000,10000,Diesel
Wagon R LXi BS III,Maruti,2006,90001,48000,Petrol
Estilo LX BS IV,Maruti,2007,115000,36000,Petrol
A6 2.0 TDI Premium,Audi,2012,1599000,11500,Diesel
Wagon R LXi BS III,Maruti,2003,130000,133000,Petrol
Wagon R,Maruti,2009,159000,27000,Petrol
Wagon R,Maruti,2009,160000,35000,Petrol
Alto,Maruti,2010,110000,55000,Petrol
Baleno Sigma 1.2,Maruti,2016,425000,40000,Petrol
Verna 1.6 SX VTVT AT,Hyundai,2019,900000,2000,Petrol
Swift GLAM,Maruti,2009,150000,45000,Petrol
Getz Prime 1.3 GVS,Hyundai,2009,110000,20000,Petrol
Santro,Hyundai,2000,51999,88000,Petrol
Getz Prime 1.3 GLX,Hyundai,2009,115000,20000,Petrol
Beat PS Diesel,Chevrolet,2012,215000,65422,Diesel
EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,10000,Petrol
Dzire ZXI,Maruti,2013,380000,35000,Petrol
Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,117000,Diesel
Indica V2 DLG,Tata,2005,35000,150000,Diesel
X1 xDrive20d xLine,BMW,2011,1150000,72000,Diesel
i20 Asta 1.2,Hyundai,2010,300000,10750,Petrol
City 1.5 V AT,Honda,2009,269000,55000,Petrol
Nano,Tata,2013,60000,6800,Petrol
Cruze LTZ AT,Chevrolet,2014,400000,41000,Diesel
Verna Fluidic New,Hyundai,2015,430000,73000,Diesel
Swift Dzire VDi,Maruti,2011,140000,65000,Diesel
XUV500 W6,Mahindra,2014,8500003,45000,Diesel
XUV500 W10,Mahindra,2018,1299000,40000,Diesel
Alto K10 LXi CNG,Maruti,2014,199000,37000,Petrol
Accent GLE,Hyundai,2006,90000,55000,Petrol
Motors One SUV,Force,2013,550000,140000,Diesel
Alto,Maruti,2019,265000,9800,Petrol
Spark 1.0 LT,Chevrolet,2011,100000,27000,Petrol
i10,Hyundai,2009,215000,27000,Petrol
Etios Liva GD,Toyota,2012,380000,20000,Diesel
Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,57923,Diesel
